"","Rok","Imię","Liczba","Płeć"
"1",2000,"JAKUB",14497,"M"
"2",2000,"MATEUSZ",11454,"M"
"3",2000,"KACPER",8898,"M"
"4",2000,"MICHAŁ",8498,"M"
"5",2000,"PATRYK",7743,"M"
"6",2000,"DAWID",7063,"M"
"7",2000,"KAMIL",6842,"M"
"8",2000,"PIOTR",5608,"M"
"9",2000,"SZYMON",5486,"M"
"10",2000,"PAWEŁ",5109,"M"
"11",2000,"MACIEJ",4596,"M"
"12",2000,"BARTOSZ",4544,"M"
"13",2000,"DAMIAN",4514,"M"
"14",2000,"DOMINIK",4488,"M"
"15",2000,"ADRIAN",4302,"M"
"16",2000,"MARCIN",3773,"M"
"17",2000,"ŁUKASZ",3683,"M"
"18",2000,"KRZYSZTOF",3599,"M"
"19",2000,"DANIEL",3564,"M"
"20",2000,"SEBASTIAN",3559,"M"
"21",2000,"TOMASZ",3353,"M"
"22",2000,"FILIP",3337,"M"
"23",2000,"ADAM",3267,"M"
"24",2000,"BARTŁOMIEJ",3178,"M"
"25",2000,"KAROL",3084,"M"
"26",2000,"MIKOŁAJ",3083,"M"
"27",2000,"KRYSTIAN",3037,"M"
"28",2000,"HUBERT",2861,"M"
"29",2000,"KONRAD",2667,"M"
"30",2000,"WOJCIECH",2640,"M"
"31",2000,"RAFAŁ",2331,"M"
"32",2000,"JAN",2259,"M"
"33",2000,"PRZEMYSŁAW",2115,"M"
"34",2000,"OSKAR",1785,"M"
"35",2000,"GRZEGORZ",1712,"M"
"36",2000,"WIKTOR",1707,"M"
"37",2000,"ARKADIUSZ",1513,"M"
"38",2000,"ALEKSANDER",1340,"M"
"39",2000,"ARTUR",1329,"M"
"40",2000,"RADOSŁAW",1287,"M"
"41",2000,"ROBERT",1110,"M"
"42",2000,"MAREK",1057,"M"
"43",2000,"ERYK",1028,"M"
"44",2000,"MARCEL",965,"M"
"45",2000,"NORBERT",926,"M"
"46",2000,"MARIUSZ",822,"M"
"47",2000,"ANDRZEJ",783,"M"
"48",2000,"MAKSYMILIAN",769,"M"
"49",2000,"JACEK",757,"M"
"50",2000,"MIŁOSZ",745,"M"
"51",2000,"DARIUSZ",717,"M"
"52",2000,"CEZARY",695,"M"
"53",2000,"IGOR",693,"M"
"54",2000,"BŁAŻEJ",658,"M"
"55",2000,"GABRIEL",564,"M"
"56",2000,"JAROSŁAW",459,"M"
"57",2000,"ALAN",428,"M"
"58",2000,"STANISŁAW",422,"M"
"59",2000,"GRACJAN",375,"M"
"60",2000,"NIKODEM",375,"M"
"61",2000,"EMIL",369,"M"
"62",2000,"ALBERT",367,"M"
"63",2000,"ANTONI",327,"M"
"64",2000,"DENIS",282,"M"
"65",2000,"ERNEST",281,"M"
"66",2000,"FABIAN",277,"M"
"67",2000,"SŁAWOMIR",277,"M"
"68",2000,"TOBIASZ",277,"M"
"69",2000,"TYMOTEUSZ",269,"M"
"70",2000,"OLAF",261,"M"
"71",2000,"JĘDRZEJ",256,"M"
"72",2000,"SYLWESTER",256,"M"
"73",2000,"FRANCISZEK",248,"M"
"74",2000,"SEWERYN",247,"M"
"75",2000,"REMIGIUSZ",246,"M"
"76",2000,"KAJETAN",239,"M"
"77",2000,"KUBA",202,"M"
"78",2000,"KORNEL",195,"M"
"79",2000,"KEWIN",189,"M"
"80",2000,"BRAJAN",184,"M"
"81",2000,"JULIAN",164,"M"
"82",2000,"MARTIN",161,"M"
"83",2000,"KEVIN",159,"M"
"84",2000,"DORIAN",151,"M"
"85",2000,"CYPRIAN",145,"M"
"86",2000,"JANUSZ",143,"M"
"87",2000,"MARCELI",142,"M"
"88",2000,"WITOLD",140,"M"
"89",2000,"AMADEUSZ",137,"M"
"90",2000,"NATAN",129,"M"
"91",2000,"OLIWIER",117,"M"
"92",2000,"MIROSŁAW",116,"M"
"93",2000,"DAVID",115,"M"
"94",2000,"JERZY",114,"M"
"95",2000,"BENIAMIN",105,"M"
"96",2000,"ROMAN",100,"M"
"97",2000,"ZBIGNIEW",99,"M"
"98",2000,"SAMUEL",98,"M"
"99",2000,"BORYS",95,"M"
"100",2000,"KORDIAN",88,"M"
"101",2000,"JÓZEF",86,"M"
"102",2000,"JULIUSZ",83,"M"
